sample_id,frequency_hz,candidate,candidate_method,config,solver,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,l2_lambda,group_alpha_frac,effective_rank,rank_ratio,stable_condition,solver_iterations,solver_converged,solver_rel_change,lambda_max,group_lambda,lipschitz,relative_residual,active_sources,active_fraction,peak_source_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,center_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.1,135,1.0,185.92676953422503,182,1,9.073150551810715e-07,0.20511018093467326,0.020511018093467327,7.1973436400457205,0.7089931005732214,23,0.5111111111111111,0.2401179068058183,0.0,0.0,4.25,0.25,0.06754234397762095,0.18914837479309873,0.8513664599169507,64.9424812797005,17.563248496008445
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.03,135,1.0,185.92676953422503,430,1,7.274345591341892e-07,0.20511018093467326,0.0061533054280401974,7.1973436400457205,0.6206775182517437,39,0.8666666666666667,0.2736387376457616,0.0,0.0,4.25,0.25,0.05818443825375086,0.29769676752193747,0.7946304519035311,25.372042693472167,19.383098364728674
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.01,135,1.0,185.92676953422503,500,0,5.249450307107401e-05,0.20511018093467326,0.0020511018093467325,7.1973436400457205,0.5876270300426283,45,1.0,0.3283968190463609,0.0,0.0,4.25,0.25,0.036552416600449944,0.3087752732679716,0.7953513874006328,20.10953847744929,19.858293281710214
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.003,135,1.0,185.92676953422503,500,0,0.0002987183363132907,0.20511018093467326,0.0006153305428040198,7.1973436400457205,0.5574951971367963,45,1.0,0.40813011460394377,0.0,0.0,4.25,0.25,0.016874843860608287,0.3100236335616723,0.8153100809559276,69.95112855114229,20.4249104307746
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.001,135,1.0,185.92676953422503,500,0,0.0003928893233965332,0.20511018093467326,0.00020511018093467327,7.1973436400457205,0.5519384787491618,45,1.0,0.44799120278898225,0.0,0.0,4.25,0.25,0.014669666935975139,0.30472432786283543,0.8193181422917123,69.95112855114229,20.713206757298547
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.0003,135,1.0,185.92676953422503,500,0,0.00036254108593874963,0.20511018093467326,6.153305428040197e-05,7.1973436400457205,0.5511280602051924,45,1.0,0.4857837192582,0.0,0.0,4.25,0.25,0.01532481215880978,0.30063833987416805,0.819461210524579,69.95112855114229,20.80521130397342
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.0001,135,1.0,185.92676953422503,500,0,0.0005554236426022486,0.20511018093467326,2.0511018093467328e-05,7.1973436400457205,0.551027861905239,45,1.0,0.5004624372257194,0.0,0.0,4.25,0.25,0.016630412747871113,0.29922715008492423,0.8194058763237763,69.95112855114229,20.829714330684293
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,tikhonov,162,324,45,135,2.4,1e-05,0.0,135,1.0,185.92676953422503,0,1,0.0,0.20511018093467326,0.0,,0.5509336427317263,45,1.0,0.5505685516187773,0.0,0.0,4.25,0.25,0.025330293144353422,0.2963344075495171,0.8211890097410747,69.95112855114229,20.824033785238946
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.3,135,1.0,185.92676953422503,135,1,8.466827104394681e-07,0.20511018093467326,0.061533054280401976,7.19725364004572,0.8091243392109593,2,0.044444444444444446,0.1921977182416403,0.0,0.0,4.25,0.25,0.0,0.03430714463091615,0.9585637622713163,152.70142692289906,13.283493157228246
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.1,135,1.0,185.92676953422503,182,1,8.524640283904355e-07,0.20511018093467326,0.020511018093467327,7.19725364004572,0.7089803515041233,23,0.5111111111111111,0.24015348930910801,0.0,0.0,4.25,0.25,0.06753622168365278,0.18913925915445004,0.8513654578657124,64.9424812797005,17.56415173984661
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,1e-05,0.03,135,1.0,185.92676953422503,430,1,8.200641220776545e-07,0.20511018093467326,0.0061533054280401974,7.19725364004572,0.6206490357383978,39,0.8666666666666667,0.27371464644411114,0.0,0.0,4.25,0.25,0.058171134700097146,0.2977056631573893,0.7946273632172931,25.372042693472167,19.3842914620417
