sample_id,sensor_id,node_id,prior_id,surface_type,x_m,y_m,z_m,radius_m,theta_deg,phi_deg,local_radius_m,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,weight_m2,cst_probe_field,cst_coordinate_system,workflow_role,source_center_x_m,source_center_y_m,source_center_z_m,source_family_role
L1_short_dipole_x_1p2G,24,24,level1_local_sphere_r0p35,sphere,0.151732035639,0.264792633823,4.17135416667,4.1825032377,4.18442076486,60.1863372009,0.349702950334,0.433520101825,0.756550382351,0.489583333333,-0.867646919875,0.497180874965,0.0,-0.243411470035,-0.424785471189,0.871956512518,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,25,25,level1_local_sphere_r0p35,sphere,-0.294540031094,-0.0939663034128,4.1640625,4.17552391922,4.24620280386,197.694101251,0.350252632047,-0.841542945982,-0.268475152608,0.46875,0.303934980345,-0.952692777197,0.0,0.446574739311,0.142469522037,0.883330876569,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,26,26,level1_local_sphere_r0p35,sphere,0.28407177367,-0.131248364636,4.15677083333,4.16853291538,4.30516981224,335.201865301,0.349927811035,0.811633639058,-0.374995327533,0.447916666667,0.419422528944,0.907791133584,-0.0,-0.406614778585,0.187866341089,0.894075309872,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,27,27,level1_local_sphere_r0p35,sphere,-0.122178408413,0.291939060851,4.14947916667,4.1615301673,4.36141607344,112.709629351,0.349849522119,-0.349081166895,0.83411160243,0.427083333333,-0.922473219561,-0.386061082204,0.0,0.164880253858,-0.393972937521,0.904212268435,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,28,28,level1_local_sphere_r0p35,sphere,-0.108242687555,-0.300942246012,4.1421875,4.15451561557,4.41502567181,250.217393401,0.350298450288,-0.309264821585,-0.859834988605,0.40625,0.940983556986,-0.338452279475,0.0,0.137496238537,0.382274570026,0.913761969826,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,29,29,level1_local_sphere_r0p35,sphere,0.285880715676,0.150250892024,4.13489583333,4.1474892003,4.46607363646,27.7251574511,0.349709352096,0.816802044788,0.429288262926,0.385416666667,-0.465230759849,0.885189437403,0.0,-0.341166762332,-0.179307688692,0.922742647251,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,30,30,level1_local_sphere_r0p35,sphere,-0.315144969724,0.0830712026353,4.12760416667,4.14045086112,4.51462690774,165.232921501,0.350128670079,-0.90041419921,0.237346293244,0.364583333333,-0.254890190111,-0.966970005215,0.0,0.352541147735,-0.0929287151447,0.931170764713,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,31,31,level1_local_sphere_r0p35,sphere,0.177757907471,-0.276454388056,4.1203125,4.13340053709,4.56074515781,302.740685551,0.35010484619,0.507879735632,-0.789869680159,0.34375,0.84112694688,0.540837738358,-0.0,-0.185912972561,0.28913738799,0.939061200082,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,32,32,level1_local_sphere_r0p35,sphere,0.0561057877891,0.326463522938,4.11302083333,4.12633816678,4.60448148982,80.2484496012,0.349713817934,0.160302250826,0.932752922681,0.322916666667,-0.985551476174,0.169376172504,0.0,-0.0546943890377,-0.318250997514,0.946427401542,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
L1_short_dipole_x_1p2G,33,33,level1_local_sphere_r0p35,sphere,-0.263790262171,-0.20429400603,4.10572916667,4.11926368825,4.64588303575,217.756213651,0.35031892477,-0.753686463345,-0.583697160086,0.302083333333,0.612303025669,-0.790623174943,0.0,0.238834084097,0.184966539004,0.953281521756,0.0160352125027,efield,Cartesian,local_huygens_surface_observation,0,0,4,orientation_x_short
