candidate,method,sensor_count,selection_order,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,polarization_channels
full_grid_162,full_grid,162,84,84,-4.675708702201237,-8.098565033604471,9.030558815966963,46.00000000000001,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,85,85,-1.6238565908773037,-9.209348361508846,9.030558815966963,46.00000000000001,260.0,13.0,theta;phi
full_grid_162,full_grid,162,86,86,1.6238565908773004,-9.209348361508848,9.030558815966963,46.00000000000001,280.0,13.0,theta;phi
full_grid_162,full_grid,162,87,87,4.675708702201233,-8.098565033604473,9.030558815966963,46.00000000000001,300.0,13.0,theta;phi
full_grid_162,full_grid,162,88,88,7.163601337928604,-6.010975240556965,9.030558815966963,46.00000000000001,320.0,13.0,theta;phi
full_grid_162,full_grid,162,89,89,8.787457928805907,-3.198373120951891,9.030558815966963,46.00000000000001,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,90,90,10.777488443215542,0.0,7.269507745119707,56.00000000000001,0.0,13.0,theta;phi
full_grid_162,full_grid,162,91,91,10.127526360695054,3.6861181420393185,7.269507745119707,56.00000000000001,20.0,13.0,theta;phi
full_grid_162,full_grid,162,92,92,8.256035132704271,6.9276360348388195,7.269507745119707,56.00000000000001,40.0,13.0,theta;phi
full_grid_162,full_grid,162,93,93,5.388744221607773,9.333578780817861,7.269507745119707,56.00000000000001,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,94,94,1.8714912279907818,10.613754176878139,7.269507745119707,56.00000000000001,80.0,13.0,theta;phi
full_grid_162,full_grid,162,95,95,-1.8714912279907807,10.613754176878139,7.269507745119707,56.00000000000001,100.0,13.0,theta;phi
full_grid_162,full_grid,162,96,96,-5.3887442216077694,9.333578780817861,7.269507745119707,56.00000000000001,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,97,97,-8.256035132704271,6.927636034838822,7.269507745119707,56.00000000000001,140.0,13.0,theta;phi
full_grid_162,full_grid,162,98,98,-10.127526360695052,3.68611814203932,7.269507745119707,56.00000000000001,160.0,13.0,theta;phi
full_grid_162,full_grid,162,99,99,-10.777488443215542,1.3198616724831505e-15,7.269507745119707,56.00000000000001,180.0,13.0,theta;phi
full_grid_162,full_grid,162,100,100,-10.127526360695054,-3.6861181420393176,7.269507745119707,56.00000000000001,200.0,13.0,theta;phi
full_grid_162,full_grid,162,101,101,-8.256035132704271,-6.9276360348388195,7.269507745119707,56.00000000000001,220.0,13.0,theta;phi
full_grid_162,full_grid,162,102,102,-5.3887442216077766,-9.33357878081786,7.269507745119707,56.00000000000001,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,103,103,-1.8714912279907807,-10.613754176878139,7.269507745119707,56.00000000000001,260.0,13.0,theta;phi
full_grid_162,full_grid,162,104,104,1.8714912279907772,-10.613754176878139,7.269507745119707,56.00000000000001,280.0,13.0,theta;phi
full_grid_162,full_grid,162,105,105,5.388744221607773,-9.333578780817861,7.269507745119707,56.00000000000001,300.0,13.0,theta;phi
full_grid_162,full_grid,162,106,106,8.25603513270427,-6.927636034838824,7.269507745119707,56.00000000000001,320.0,13.0,theta;phi
full_grid_162,full_grid,162,107,107,10.12752636069505,-3.6861181420393256,7.269507745119707,56.00000000000001,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,108,108,11.876090949353811,0.0,5.287576359985403,66.0,0.0,13.0,theta;phi
full_grid_162,full_grid,162,109,109,11.159875028890092,4.061862328646668,5.287576359985403,66.0,20.0,13.0,theta;phi
full_grid_162,full_grid,162,110,110,9.097613477728077,7.633804113755079,5.287576359985403,66.0,40.0,13.0,theta;phi
full_grid_162,full_grid,162,111,111,5.938045474676907,10.284996459794852,5.287576359985403,66.0,59.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,112,112,2.062261551162015,11.695666442401746,5.287576359985403,66.0,80.0,13.0,theta;phi
full_grid_162,full_grid,162,113,113,-2.0622615511620137,11.695666442401746,5.287576359985403,66.0,100.0,13.0,theta;phi
full_grid_162,full_grid,162,114,114,-5.938045474676903,10.284996459794852,5.287576359985403,66.0,119.99999999999999,13.0,theta;phi
full_grid_162,full_grid,162,115,115,-9.097613477728075,7.633804113755081,5.287576359985403,66.0,140.0,13.0,theta;phi
full_grid_162,full_grid,162,116,116,-11.15987502889009,4.0618623286466695,5.287576359985403,66.0,160.0,13.0,theta;phi
