sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,h_real,h_imag,error
14,14,Hx,-0.144163462072,0.205057689897,4.24427083333,1D Results\Probes\H-Field\H-Field (-0.144163 0.205058 4.24427)(X) [1],-0.144163,0.205058,4.24427,1.002054535514e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.364736322620e-11,-2.875421567134e-11,
14,14,Hy,-0.144163462072,0.205057689897,4.24427083333,1D Results\Probes\H-Field\H-Field (-0.144163 0.205058 4.24427)(Y) [1],-0.144163,0.205058,4.24427,1.002054535514e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.199793038280e-05,6.584830542360e-06,
14,14,Hz,-0.144163462072,0.205057689897,4.24427083333,1D Results\Probes\H-Field\H-Field (-0.144163 0.205058 4.24427)(Z) [1],-0.144163,0.205058,4.24427,1.002054535514e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-9.645132605486e-06,-5.669842234512e-06,
15,15,Hx,-0.0331001415477,-0.255431507836,4.23697916667,1D Results\Probes\H-Field\H-Field (-0.0331001 -0.255432 4.23698)(X) [1],-0.0331001,-0.255432,4.23698,9.687055809811e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.422425519124e-12,-4.156715716623e-12,
15,15,Hy,-0.0331001415477,-0.255431507836,4.23697916667,1D Results\Probes\H-Field\H-Field (-0.0331001 -0.255432 4.23698)(Y) [1],-0.0331001,-0.255432,4.23698,9.687055809811e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.139556582824e-05,6.181642553262e-06,
15,15,Hz,-0.0331001415477,-0.255431507836,4.23697916667,1D Results\Probes\H-Field\H-Field (-0.0331001 -0.255432 4.23698)(Z) [1],-0.0331001,-0.255432,4.23698,9.687055809811e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.284826503957e-05,6.839561257250e-06,
16,16,Hx,0.201936333078,0.170192155303,4.2296875,1D Results\Probes\H-Field\H-Field (0.201936 0.170192 4.22969)(X) [1],0.201936,0.170192,4.22969,2.526867621267e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.431353106627e-12,4.424913220191e-11,
16,16,Hy,0.201936333078,0.170192155303,4.2296875,1D Results\Probes\H-Field\H-Field (0.201936 0.170192 4.22969)(Y) [1],0.201936,0.170192,4.22969,2.526867621267e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.109770447887e-05,5.780600660874e-06,
16,16,Hz,0.201936333078,0.170192155303,4.2296875,1D Results\Probes\H-Field\H-Field (0.201936 0.170192 4.22969)(Z) [1],0.201936,0.170192,4.22969,2.526867621267e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.137461077429e-06,-4.678577465441e-06,
17,17,Hx,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\H-Field\H-Field (-0.270029 0.0111665 4.2224)(X) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.865745956343e-11,-4.995748698770e-11,
17,17,Hy,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\H-Field\H-Field (-0.270029 0.0111665 4.2224)(Y) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.076231466560e-05,5.882896295498e-06,
17,17,Hz,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\H-Field\H-Field (-0.270029 0.0111665 4.2224)(Z) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-5.210821378026e-07,-3.214917255740e-07,
18,18,Hx,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\H-Field\H-Field (0.195707 -0.194754 4.2151)(X) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-5.733370719723e-12,3.961211845696e-11,
18,18,Hy,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\H-Field\H-Field (0.195707 -0.194754 4.2151)(Y) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.022900789102e-05,5.719280057937e-06,
18,18,Hz,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\H-Field\H-Field (0.195707 -0.194754 4.2151)(Z) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.156867720032e-06,5.159642784440e-06,
19,19,Hx,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\H-Field\H-Field (-0.0130088 0.281327 4.20781)(X) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.467519608900e-12,-1.131206794872e-14,
19,19,Hy,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\H-Field\H-Field (-0.0130088 0.281327 4.20781)(Y) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.734338093997e-06,5.452524101661e-06,
19,19,Hz,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\H-Field\H-Field (-0.0130088 0.281327 4.20781)(Z) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.419787956264e-05,-7.566748906866e-06,
20,20,Hx,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\H-Field\H-Field (-0.183797 -0.22025 4.20052)(X) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.205749908387e-11,-3.094341482170e-11,
20,20,Hy,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\H-Field\H-Field (-0.183797 -0.22025 4.20052)(Y) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.372804476187e-06,5.555428195951e-06,
20,20,Hz,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\H-Field\H-Field (-0.183797 -0.22025 4.20052)(Z) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.055247331444e-05,5.916171733230e-06,
21,21,Hx,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\H-Field\H-Field (0.28922 0.0389141 4.19323)(X) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.003986818690e-11,5.028963069943e-11,
21,21,Hy,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\H-Field\H-Field (0.28922 0.0389141 4.19323)(Y) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.180168202725e-06,5.321731936659e-06,
21,21,Hz,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\H-Field\H-Field (0.28922 0.0389141 4.19323)(Z) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.114239714187e-06,-1.081638266773e-06,
22,22,Hx,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\H-Field\H-Field (-0.243405 0.169355 4.18594)(X) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.682235721329e-11,-3.775551573223e-11,
