sensor_id,sample_surface,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,intended_monitor_kind,coordinate_unit,angle_unit,field_components_required
18,upper_hemisphere_2pi,3.5832856256209897,0.0,12.496402047198146,16.000000000000004,0.0,13.0,0.9612616959383188,0.0,-0.2756373558169992,-0.0,1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
19,upper_hemisphere_2pi,3.367187060564261,1.2255558632516994,12.496402047198146,16.000000000000004,20.0,13.0,0.903290522317386,0.3287708630182992,-0.2756373558169992,-0.3420201433256687,0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
20,upper_hemisphere_2pi,2.74495604161507,2.3032916021170515,12.496402047198146,16.000000000000004,40.0,13.0,0.7363691805566739,0.6178871078154209,-0.2756373558169992,-0.6427876096865393,0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
21,upper_hemisphere_2pi,1.791642812810495,3.103216380803392,12.496402047198146,16.000000000000004,59.99999999999999,13.0,0.4806308479691595,0.8324770483674968,-0.2756373558169992,-0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
22,upper_hemisphere_2pi,0.6222310189491915,3.528847465368751,12.496402047198146,16.000000000000004,80.0,13.0,0.166921341760712,0.9466579708337202,-0.2756373558169992,-0.984807753012208,0.1736481776669304,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
23,upper_hemisphere_2pi,-0.6222310189491912,3.528847465368751,12.496402047198146,16.000000000000004,100.0,13.0,-0.1669213417607119,0.9466579708337202,-0.2756373558169992,-0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
24,upper_hemisphere_2pi,-1.7916428128104942,3.103216380803393,12.496402047198146,16.000000000000004,120.0,13.0,-0.4806308479691592,0.8324770483674969,-0.2756373558169992,-0.8660254037844387,-0.4999999999999998,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
25,upper_hemisphere_2pi,-2.74495604161507,2.303291602117052,12.496402047198146,16.000000000000004,140.0,13.0,-0.7363691805566738,0.6178871078154211,-0.2756373558169992,-0.6427876096865395,-0.7660444431189779,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
26,upper_hemisphere_2pi,-3.367187060564261,1.2255558632517,12.496402047198146,16.000000000000004,160.0,13.0,-0.9032905223173858,0.3287708630182994,-0.2756373558169992,-0.3420201433256689,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
27,upper_hemisphere_2pi,-3.5832856256209897,4.388259271847466e-16,12.496402047198146,16.000000000000004,180.0,13.0,-0.9612616959383188,1.1772060590738186e-16,-0.2756373558169992,-1.2246467991473532e-16,-1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
