sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,e_real,e_imag,error
16,16,Ez,0.201936333078,0.170192155303,4.2296875,1D Results\Probes\E-Field\E-Field (0.201936 0.170192 4.22969)(Z) [1],0.201936,0.170192,4.22969,2.526867621267e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.780100229215e-03,-7.728088857892e-04,
17,17,Ex,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\E-Field\E-Field (-0.270029 0.0111665 4.2224)(X) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.136990936158e-03,2.553643475719e-03,
17,17,Ey,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\E-Field\E-Field (-0.270029 0.0111665 4.2224)(Y) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.724092243913e-04,5.497252475913e-05,
17,17,Ez,-0.270028520695,0.0111665270975,4.22239583333,1D Results\Probes\E-Field\E-Field (-0.270029 0.0111665 4.2224)(Z) [1],-0.270029,0.0111665,4.2224,4.194234906107e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,3.472473288924e-03,1.010383456330e-03,
18,18,Ex,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\E-Field\E-Field (0.195707 -0.194754 4.2151)(X) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.215263844144e-03,3.018530024153e-03,
18,18,Ey,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\E-Field\E-Field (0.195707 -0.194754 4.2151)(Y) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.261845820959e-03,6.473789520880e-04,
18,18,Ez,0.195706501571,-0.194754108366,4.21510416667,1D Results\Probes\E-Field\E-Field (0.195707 -0.194754 4.2151)(Z) [1],0.195707,-0.194754,4.2151,4.197774832937e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.509285135571e-03,-7.194649202663e-04,
19,19,Ex,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\E-Field\E-Field (-0.0130088 0.281327 4.20781)(X) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.342223176929e-03,3.645144500070e-03,
19,19,Ey,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\E-Field\E-Field (-0.0130088 0.281327 4.20781)(Y) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.061525746306e-04,6.039961844335e-05,
19,19,Ez,-0.0130087745601,0.281326743535,4.2078125,1D Results\Probes\E-Field\E-Field (-0.0130088 0.281327 4.20781)(Z) [1],-0.0130088,0.281327,4.20781,2.513249188654e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.455974739895e-04,4.567420624819e-05,
20,20,Ex,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\E-Field\E-Field (-0.183797 -0.22025 4.20052)(X) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.410299327206e-03,3.125601356393e-03,
20,20,Ey,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\E-Field\E-Field (-0.183797 -0.22025 4.20052)(Y) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.436855765198e-03,-6.605349553874e-04,
20,20,Ez,-0.183796880538,-0.220250089907,4.20052083333,1D Results\Probes\E-Field\E-Field (-0.183797 -0.22025 4.20052)(Z) [1],-0.183797,-0.22025,4.20052,8.466364783338e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.178907108543e-03,6.283783777047e-04,
21,21,Ex,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\E-Field\E-Field (0.28922 0.0389141 4.19323)(X) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.499430969098e-03,2.258274475425e-03,
21,21,Ey,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\E-Field\E-Field (0.28922 0.0389141 4.19323)(Y) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-6.814376555628e-04,-1.782384946030e-04,
21,21,Ez,0.289219949579,0.0389141351564,4.19322916667,1D Results\Probes\E-Field\E-Field (0.28922 0.0389141 4.19323)(Z) [1],0.28922,0.0389141,4.19323,8.355938834470e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-3.197604813213e-03,-9.198471966134e-04,
22,22,Ex,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\E-Field\E-Field (-0.243405 0.169355 4.18594)(X) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,3.069177724338e-03,2.370808389009e-03,
22,22,Ey,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\E-Field\E-Field (-0.243405 0.169355 4.18594)(Y) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.411584521859e-03,7.357358597870e-04,
22,22,Ez,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\E-Field\E-Field (-0.243405 0.169355 4.18594)(Z) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.635387892879e-03,7.878093770961e-04,
23,23,Ex,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\E-Field\E-Field (0.0660583 -0.293636 4.17865)(X) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.135307091268e-03,3.339647588048e-03,
23,23,Ey,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\E-Field\E-Field (0.0660583 -0.293636 4.17865)(Y) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.100413057672e-03,3.285543123301e-04,
23,23,Ez,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\E-Field\E-Field (0.0660583 -0.293636 4.17865)(Z) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-6.433724365000e-04,-2.011909729177e-04,
24,24,Ex,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\E-Field\E-Field (0.151732 0.264793 4.17135)(X) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.938428613110e-03,3.192048125703e-03,
24,24,Ey,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\E-Field\E-Field (0.151732 0.264793 4.17135)(Y) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.427852832634e-03,-6.305006709328e-04,
24,24,Ez,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\E-Field\E-Field (0.151732 0.264793 4.17135)(Z) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.520247452231e-03,-4.391132077820e-04,
25,25,Ex,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\E-Field\E-Field (-0.29454 -0.0939663 4.16406)(X) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.327385666995e-03,1.887015954641e-03,
25,25,Ey,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\E-Field\E-Field (-0.29454 -0.0939663 4.16406)(Y) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.642676538788e-03,-4.593465388495e-04,
25,25,Ez,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\E-Field\E-Field (-0.29454 -0.0939663 4.16406)(Z) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.770753974920e-03,7.927859278123e-04,
26,26,Ex,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\E-Field\E-Field (0.284072 -0.131248 4.15677)(X) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.740301713852e-03,1.961619719967e-03,
26,26,Ey,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\E-Field\E-Field (0.284072 -0.131248 4.15677)(Y) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.150466522093e-03,6.299351833070e-04,
26,26,Ez,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\E-Field\E-Field (0.284072 -0.131248 4.15677)(Z) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.563125124079e-03,-7.435453333002e-04,
27,27,Ex,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\E-Field\E-Field (-0.122178 0.291939 4.14948)(X) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.361801169245e-03,3.209094819209e-03,
27,27,Ey,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\E-Field\E-Field (-0.122178 0.291939 4.14948)(Y) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.111035007151e-03,5.679109213130e-04,
27,27,Ez,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\E-Field\E-Field (-0.122178 0.291939 4.14948)(Z) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.054615700603e-03,3.082984497550e-04,
28,28,Ex,-0.108242687555,-0.300942246012,4.1421875,1D Results\Probes\E-Field\E-Field (-0.108243 -0.300942 4.14219)(X) [1],-0.108243,-0.300942,4.14219,2.531431172618e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.648068334612e-03,3.141236833031e-03,
