sample_id,frequency_hz,lmax,lambda_reg,include_l0,mode_count,sensor_count,nearfield_row_count,farfield_row_count,farfield_shape,basis_condition,nearfield_fit_relative_error,theta_fit_relative_error,phi_fit_relative_error,correlation,nmse,main_lobe_error_deg,raw_peak_angular_distance_deg,peak_error_db,farfield_complex_component_status,farfield_total_complex_correlation_abs,farfield_total_complex_relative_l2_error,theta_farfield_complex_correlation_abs,phi_farfield_complex_correlation_abs,theta_farfield_error_to_total_norm,phi_farfield_error_to_total_norm,theta_true_energy_fraction,phi_true_energy_fraction,theta_pred_energy_fraction,phi_pred_energy_fraction,true_peak_theta_deg,true_peak_phi_deg,pred_peak_theta_deg,pred_peak_phi_deg
L1_short_dipole_z_1p2G,1200000000.0,10,1e-06,False,120,162,324,2664,37x72,1.1688896130392148e+16,0.0027558639542307624,0.002755863954220049,0.07112009202553869,0.9999357454605471,0.0001608806531758968,0.0,173.59766886420374,0.04554496378517156,available,0.9999459514866096,0.010397434478206583,0.9999459514866096,0.968083984314905,0.010397434478168988,2.796282400256117e-08,0.999999999999994,1.191443861901501e-14,0.9999999999999942,1.2427504526540741e-14,88.0,185.0,88.0,0.0
L1_halfwave_dipole_z_1p2G,1200000000.0,2,0.0,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.9292148311824368,0.06740768995844344,19.722567526571293,19.722567526571293,-0.39371592532389554,available,0.992675397042046,0.1211321435719755,0.9926753970420609,0.03640686099502997,0.12113214357183275,1.8600556926972086e-07,0.9999999999999698,3.464398955429654e-14,1.0,4.620054324905395e-17,88.0,315.0,68.888889,310.0
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-10,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.929214831181251,0.06740768995955412,19.722567526571293,19.722567526571293,-0.39371592550307866,available,0.9926753970420652,0.12113214357041795,0.9926753970420802,0.03640686099502159,0.12113214357027519,1.8600556926972086e-07,0.9999999999999698,3.464398955429654e-14,1.0,4.620054324965346e-17,88.0,315.0,68.888889,310.0
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-08,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.9292148310638929,0.06740769006955136,19.722567526571293,19.722567526571293,-0.39371594324267184,available,0.9926753970439555,0.12113214341622677,0.9926753970439705,0.036406860994194046,0.12113214341608401,1.8600556926972505e-07,0.9999999999999698,3.464398955429654e-14,1.0,4.6200543309004356e-17,88.0,315.0,68.888889,310.0
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-06,False,8,162,324,2664,37x72,4.562804517444079,0.12764720489073977,0.12764720489061254,0.9993240853036509,0.9292148193281072,0.06740770106924959,19.722567526571293,19.722567526571293,-0.393717717200301,available,0.9926753972329622,0.1211321279972767,0.9926753972329772,0.03640686091143691,0.12113212799713395,1.860055692701454e-07,0.9999999999999698,3.464398955429654e-14,1.0,4.620054924408732e-17,88.0,315.0,68.888889,310.0
L1_halfwave_dipole_z_1p2G,1200000000.0,3,0.0,False,15,162,324,2664,37x72,20.146665301904548,0.06300954892032458,0.06300954892006363,0.9992529124061382,0.9898423863284076,0.010429521238493477,10.765715048331622,10.765715048331622,-0.10320987688108045,available,0.9978286615904979,0.06597126686334011,0.997828661590513,0.03819711449889284,0.065971266863078,1.8599312738010837e-07,0.9999999999999698,3.464398955429654e-14,1.0,5.053594956832398e-17,88.0,315.0,78.444444,320.0
L1_halfwave_dipole_z_1p2G,1200000000.0,3,1e-10,False,15,162,324,2664,37x72,20.146665301904548,0.06300954892032451,0.06300954892006358,0.9992529124061382,0.9898423863231295,0.010429521244916178,10.765715048331622,10.765715048331622,-0.1032098772549068,available,0.997828661590668,0.06597126685943087,0.9978286615906831,0.03819711449886485,0.06597126685916876,1.859931273801085e-07,0.9999999999999698,3.464398955429654e-14,1.0,5.053594956683966e-17,88.0,315.0,78.444444,320.0
L1_halfwave_dipole_z_1p2G,1200000000.0,3,1e-08,False,15,162,324,2664,37x72,20.146665301904548,0.06300954892032469,0.06300954892006376,0.9992529124061382,0.9898423858005726,0.010429521880806664,10.765715048331622,10.765715048331622,-0.10320991426501522,available,0.9978286616074973,0.06597126647241633,0.9978286616075124,0.03819711449609261,0.06597126647215423,1.8599312738012666e-07,0.9999999999999698,3.464398955429654e-14,1.0,5.05359494198944e-17,88.0,315.0,78.444444,320.0
L1_halfwave_dipole_z_1p2G,1200000000.0,3,1e-06,False,15,162,324,2664,37x72,20.146665301904548,0.06300954892141054,0.06300954892114963,0.9992529124061401,0.9898423335446606,0.010429585470142222,10.765715048331622,10.765715048331622,-0.10321361527295637,available,0.9978286632903689,0.06597122777192664,0.997828663290384,0.0381971142188308,0.06597122777166453,1.8599312738194846e-07,0.9999999999999698,3.464398955429654e-14,1.0,5.0535934725658326e-17,88.0,315.0,78.444444,320.0
L1_halfwave_dipole_z_1p2G,1200000000.0,4,0.0,False,24,162,324,2664,37x72,105.11189274628238,0.01908390252702832,0.019083902526719147,0.5977262937172642,0.9996618649723537,0.0003011540520321281,0.0,8.537736462515939e-07,0.024725371355527458,available,0.9997142765359728,0.023903609906032363,0.9997142765359764,0.8226616814597081,0.02390360990579632,1.0623222472480579e-07,0.9999999999999698,3.464398955429654e-14,0.999999999999983,2.0687968657422307e-14,88.0,315.0,88.0,315.0
L1_halfwave_dipole_z_1p2G,1200000000.0,4,1e-10,False,24,162,324,2664,37x72,105.11189274628238,0.01908390252702832,0.019083902526719144,0.5977262937172642,0.9996618649776172,0.00030115404158832554,0.0,8.537736462515939e-07,0.02472536884040636,available,0.9997142765357294,0.023903609916353638,0.9997142765357331,0.8226616814597909,0.02390360991611759,1.0623222472493635e-07,0.9999999999999698,3.464398955429654e-14,0.9999999999999828,2.068796865805454e-14,88.0,315.0,88.0,315.0
L1_halfwave_dipole_z_1p2G,1200000000.0,4,1e-08,False,24,162,324,2664,37x72,105.11189274628238,0.01908390252703407,0.019083902526724893,0.5977262937172643,0.9996618654987358,0.0003011530076602656,0.0,8.537736462515939e-07,0.02472511984473,available,0.9997142765116466,0.023903610938164763,0.9997142765116501,0.82266168146799,0.02390361093792872,1.0623222473786395e-07,0.9999999999999698,3.464398955429654e-14,0.999999999999983,2.0687968720648066e-14,88.0,315.0,88.0,315.0
L1_halfwave_dipole_z_1p2G,1200000000.0,4,1e-06,False,24,162,324,2664,37x72,105.11189274628238,0.019083902584471634,0.019083902584162454,0.5977262937179446,0.9996619176010286,0.0003010496492301888,0.0,8.537736462515939e-07,0.024700220442800225,available,0.9997142741024039,0.023903713159347716,0.9997142741024075,0.8226616822872466,0.02390371315911167,1.0623222603076956e-07,0.9999999999999698,3.464398955429654e-14,0.9999999999999828,2.068797497999338e-14,88.0,315.0,88.0,315.0
L1_halfwave_dipole_z_1p2G,1200000000.0,5,0.0,False,35,162,324,2664,37x72,634.5728907361449,0.015344603352669918,0.015344603352666939,0.05477308253821322,0.9995235177005116,0.0004197551333100159,4.777777999999965,4.777777999999965,-0.022745395136042377,available,0.9997908993013593,0.02045558305263189,0.9997908993013572,0.9985152885910051,0.020455583052629428,1.0139150438811757e-08,0.9999999999999698,3.464398955429654e-14,0.9999999999999698,3.45305716569447e-14,88.0,315.0,83.222222,315.0
L1_halfwave_dipole_z_1p2G,1200000000.0,5,1e-10,False,35,162,324,2664,37x72,634.5728907361449,0.015344603352669925,0.015344603352666946,0.05477308253821328,0.9995235176765673,0.000419755151660748,4.777777999999965,4.777777999999965,-0.022745394822118604,available,0.9997908993014355,0.020455583049014806,0.9997908993014334,0.9985152885942588,0.02045558304901234,1.0139150427696688e-08,0.9999999999999698,3.464398955429654e-14,0.9999999999999698,3.453057165501403e-14,88.0,315.0,83.222222,315.0
