sample_id,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,frequency_hz,polarization,e_real,e_imag,source_config,carrier_model,working_state,cst_project,cst_farfield_item,extraction_method
L1_short_dipole_x_1p2G,8,-1.276920132731163,0.4647609198493918,12.92878463978755,6.000000000000001,160.0,13.0,1200000000,Ex,-0.0001913383116862106,4.519748405108975e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,8,-1.276920132731163,0.4647609198493918,12.92878463978755,6.000000000000001,160.0,13.0,1200000000,Ey,-6.823478175704584e-07,1.610899715569625e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,8,-1.276920132731163,0.4647609198493918,12.92878463978755,6.000000000000001,160.0,13.0,1200000000,Ez,-1.887312849226724e-05,4.458169164090891e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,9,-1.358870022479495,1.664135823486806e-16,12.92878463978755,6.000000000000001,180.0,13.0,1200000000,Ex,-0.0001911978195994577,4.468955954231881e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,9,-1.358870022479495,1.664135823486806e-16,12.92878463978755,6.000000000000001,180.0,13.0,1200000000,Ey,-4.159251075138947e-09,8.739373351545844e-10,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,9,-1.358870022479495,1.664135823486806e-16,12.92878463978755,6.000000000000001,180.0,13.0,1200000000,Ez,-2.009570061346577e-05,4.697061980055333e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,10,-1.276920132731163,-0.4647609198493915,12.92878463978755,6.000000000000001,200.0,13.0,1200000000,Ex,-0.0001915596849102574,4.426277693497303e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,10,-1.276920132731163,-0.4647609198493915,12.92878463978755,6.000000000000001,200.0,13.0,1200000000,Ey,6.753361155357161e-07,-1.561390803573212e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,10,-1.276920132731163,-0.4647609198493915,12.92878463978755,6.000000000000001,200.0,13.0,1200000000,Ez,-1.889524462303179e-05,4.366030158978027e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,11,-1.040954829641378,-0.8734648136242886,12.92878463978755,6.000000000000001,220.0,13.0,1200000000,Ex,-0.0001922949662510064,4.394540808249118e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,11,-1.040954829641378,-0.8734648136242886,12.92878463978755,6.000000000000001,220.0,13.0,1200000000,Ey,1.038087247910163e-06,-2.373113650544209e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,11,-1.040954829641378,-0.8734648136242886,12.92878463978755,6.000000000000001,220.0,13.0,1200000000,Ez,-1.541240315326837e-05,3.522210549987981e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,12,-0.6794350112397481,-1.176815959908374,12.92878463978755,6.000000000000001,240.0,13.0,1200000000,Ex,-0.0001930976647986767,4.372454568313025e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,12,-0.6794350112397481,-1.176815959908374,12.92878463978755,6.000000000000001,240.0,13.0,1200000000,Ey,9.140589793763399e-07,-2.070284042730809e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,12,-0.6794350112397481,-1.176815959908374,12.92878463978755,6.000000000000001,240.0,13.0,1200000000,Ez,-1.006449086151446e-05,2.27897313462031e-06,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,13,-0.2359653030897849,-1.33822573347368,12.92878463978755,6.000000000000001,260.0,13.0,1200000000,Ex,-0.0001936232308226141,4.357197948546317e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,13,-0.2359653030897849,-1.33822573347368,12.92878463978755,6.000000000000001,260.0,13.0,1200000000,Ey,3.612559242035742e-07,-8.131633346529661e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,13,-0.2359653030897849,-1.33822573347368,12.92878463978755,6.000000000000001,260.0,13.0,1200000000,Ez,-3.49645567093964e-06,7.868222744006806e-07,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
L1_short_dipole_x_1p2G,14,0.2359653030897844,-1.33822573347368,12.92878463978755,6.000000000000001,280.0,13.0,1200000000,Ex,-0.0001936463654811972,4.347191982379552e-05,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius"
