sample_id,grid_index,theta_deg,phi_deg,radius_m,frequency_hz,e_theta_real,e_theta_imag,e_phi_real,e_phi_imag,power,source_config,carrier_model,working_state,cst_project,cst_farfield_item,extraction_method
L1_short_dipole_x_1p2G,30,2.0,150.0,13.0,1200000000,0.0001673078120554514,-3.91292228295587e-05,9.665540833492558e-05,-2.260530881345189e-05,3.937626800097023e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,31,2.0,155.0,13.0,1200000000,0.0001750968500371585,-4.092050935223773e-05,8.17000941325416e-05,-1.909345013026308e-05,3.937286019772475e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,32,2.0,160.0,13.0,1200000000,0.0001815543371298893,-4.23960148146395e-05,6.61219802756167e-05,-1.544056621928422e-05,3.936992676357778e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,33,2.0,165.0,13.0,1200000000,0.0001866310056409738,-4.354502088357441e-05,5.003943836525729e-05,-1.167523871407554e-05,3.936755770125316e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,34,2.0,170.0,13.0,1200000000,0.0001902880660378088,-4.435942183406257e-05,3.357470314620567e-05,-7.82680434281294e-06,3.93658259394383e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,35,2.0,175.0,13.0,1200000000,0.0001924975068291845,-4.483376683112897e-05,1.685294721005166e-05,-3.925110994330792e-06,3.936478510970258e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,36,2.0,180.0,13.0,1200000000,0.0001932423132166182,-4.496527871604474e-05,1.332448576251788e-09,-2.735789625308908e-10,3.936446790917142e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,37,2.0,185.0,13.0,1200000000,0.0001925166026837029,-4.475384984323134e-05,-1.685195464956719e-05,3.917567942284251e-06,3.93648850987587e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,38,2.0,190.0,13.0,1200000000,0.0001903256763042411,-4.420201576763546e-05,-3.357867661122756e-05,7.798486130670922e-06,3.936602516748072e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,39,2.0,195.0,13.0,1200000000,0.000186685985177655,-4.331490780660521e-05,-5.005152015042797e-05,1.161299718797211e-05,3.936785467310288e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,40,2.0,200.0,13.0,1200000000,0.000181625012038892,-4.21001856917225e-05,-6.61450655015705e-05,1.533228375914684e-05,3.937031924888323e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,41,2.0,205.0,13.0,1200000000,0.0001751810687346299,-4.056795168233835e-05,-8.173674252384642e-05,1.892840777174837e-05,3.93733452458908e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,42,2.0,210.0,13.0,1200000000,0.0001674030109036583,-3.873064763229765e-05,-9.67077662508696e-05,2.237451188869677e-05,3.937684196111781e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,43,2.0,215.0,13.0,1200000000,0.000158349871841262,-3.660293658434952e-05,-0.0001109440446810702,2.564500838022728e-05,3.938070438375925e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
