sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,radius_m
25,-2.74495604161507,2.303291602117052,12.496402047198146,16.000000000000004,140.0,-0.7363691805566738,0.6178871078154211,-0.2756373558169992,-0.6427876096865395,-0.7660444431189779,0.0,13.0
26,-3.367187060564261,1.2255558632517,12.496402047198146,16.000000000000004,160.0,-0.9032905223173858,0.3287708630182994,-0.2756373558169992,-0.3420201433256689,-0.9396926207859083,0.0,13.0
27,-3.5832856256209897,4.388259271847466e-16,12.496402047198146,16.000000000000004,180.0,-0.9612616959383189,1.1772060590738186e-16,-0.2756373558169992,-1.2246467991473532e-16,-1.0,0.0,13.0
28,-3.3671870605642615,-1.2255558632516992,12.496402047198146,16.000000000000004,200.0,-0.9032905223173859,-0.32877086301829916,-0.2756373558169992,0.34202014332566866,-0.9396926207859084,0.0,13.0
29,-2.74495604161507,-2.3032916021170515,12.496402047198146,16.000000000000004,220.0,-0.7363691805566739,-0.6178871078154209,-0.2756373558169992,0.6427876096865393,-0.766044443118978,0.0,13.0
30,-1.7916428128104964,-3.103216380803392,12.496402047198146,16.000000000000004,239.99999999999997,-0.4806308479691599,-0.8324770483674967,-0.2756373558169992,0.8660254037844385,-0.5000000000000004,0.0,13.0
31,-0.6222310189491913,-3.528847465368751,12.496402047198146,16.000000000000004,260.0,-0.16692134176071197,-0.9466579708337202,-0.2756373558169992,0.984807753012208,-0.17364817766693033,0.0,13.0
32,0.62223101894919,-3.528847465368752,12.496402047198146,16.000000000000004,280.0,0.1669213417607116,-0.9466579708337203,-0.2756373558169992,0.9848077530122081,0.17364817766692997,0.0,13.0
33,1.7916428128104953,-3.103216380803392,12.496402047198146,16.000000000000004,300.0,0.48063084796915956,-0.8324770483674968,-0.2756373558169992,0.8660254037844386,0.5000000000000001,0.0,13.0
34,2.7449560416150693,-2.3032916021170524,12.496402047198146,16.000000000000004,320.0,0.7363691805566737,-0.6178871078154212,-0.2756373558169992,0.6427876096865396,0.7660444431189778,0.0,13.0
35,3.36718706056426,-1.225555863251702,12.496402047198146,16.000000000000004,339.99999999999994,0.9032905223173856,-0.3287708630182999,-0.2756373558169992,0.34202014332566943,0.9396926207859081,0.0,13.0
36,5.698824908258007,0.0,11.68432260188917,26.000000000000004,0.0,0.8987940462991669,0.0,-0.43837114678907746,-0.0,1.0,0.0,13.0
37,5.355143713440981,1.9491129119102943,11.68432260188917,26.000000000000004,20.0,0.8445901329136353,0.3074056685354988,-0.43837114678907746,-0.3420201433256687,0.9396926207859084,0.0,13.0
38,4.365553153279065,3.6631340408012756,11.68432260188917,26.000000000000004,40.0,0.6885161846758983,0.5777336766211342,-0.43837114678907746,-0.6427876096865393,0.766044443118978,0.0,13.0
39,2.8494124541290042,4.935327142270957,11.68432260188917,26.000000000000004,59.99999999999999,0.4493970231495836,0.7783784768652854,-0.43837114678907746,-0.8660254037844386,0.5000000000000001,0.0,13.0
40,0.9895905601619147,5.61224695271157,11.68432260188917,26.000000000000004,80.0,0.15607394823773701,0.8851393451566331,-0.43837114678907746,-0.984807753012208,0.17364817766693041,0.0,13.0
41,-0.9895905601619142,5.61224695271157,11.68432260188917,26.000000000000004,100.0,-0.15607394823773693,0.8851393451566331,-0.43837114678907746,-0.984807753012208,-0.1736481776669303,0.0,13.0
42,-2.849412454129002,4.935327142270958,11.68432260188917,26.000000000000004,119.99999999999999,-0.44939702314958324,0.7783784768652855,-0.43837114678907746,-0.8660254037844387,-0.4999999999999998,0.0,13.0
43,-4.365553153279065,3.663134040801277,11.68432260188917,26.000000000000004,140.0,-0.6885161846758981,0.5777336766211344,-0.43837114678907746,-0.6427876096865395,-0.7660444431189779,0.0,13.0
44,-5.35514371344098,1.9491129119102952,11.68432260188917,26.000000000000004,160.0,-0.8445901329136352,0.30740566853549894,-0.43837114678907746,-0.3420201433256689,-0.9396926207859083,0.0,13.0
45,-5.698824908258007,6.979047682799377e-16,11.68432260188917,26.000000000000004,180.0,-0.8987940462991669,1.1007052518929728e-16,-0.43837114678907746,-1.2246467991473532e-16,-1.0,0.0,13.0
46,-5.355143713440981,-1.9491129119102943,11.68432260188917,26.000000000000004,200.0,-0.8445901329136353,-0.3074056685354987,-0.43837114678907746,0.34202014332566866,-0.9396926207859084,0.0,13.0
47,-4.365553153279065,-3.6631340408012756,11.68432260188917,26.000000000000004,220.0,-0.6885161846758983,-0.5777336766211342,-0.43837114678907746,0.6427876096865393,-0.766044443118978,0.0,13.0
48,-2.849412454129006,-4.935327142270956,11.68432260188917,26.000000000000004,239.99999999999997,-0.44939702314958385,-0.7783784768652854,-0.43837114678907746,0.8660254037844385,-0.5000000000000004,0.0,13.0
49,-0.9895905601619144,-5.61224695271157,11.68432260188917,26.000000000000004,260.0,-0.15607394823773693,-0.8851393451566331,-0.43837114678907746,0.984807753012208,-0.17364817766693033,0.0,13.0
50,0.9895905601619122,-5.612246952711571,11.68432260188917,26.000000000000004,280.0,0.15607394823773663,-0.8851393451566332,-0.43837114678907746,0.9848077530122081,0.17364817766692997,0.0,13.0
51,2.8494124541290042,-4.935327142270957,11.68432260188917,26.000000000000004,300.0,0.4493970231495836,-0.7783784768652854,-0.43837114678907746,0.8660254037844386,0.5000000000000001,0.0,13.0
52,4.365553153279065,-3.6631340408012774,11.68432260188917,26.000000000000004,320.0,0.688516184675898,-0.5777336766211345,-0.43837114678907746,0.6427876096865396,0.7660444431189778,0.0,13.0
53,5.355143713440978,-1.9491129119102986,11.68432260188917,26.000000000000004,339.99999999999994,0.8445901329136349,-0.30740566853549944,-0.43837114678907746,0.34202014332566943,0.9396926207859081,0.0,13.0
54,7.641208279802152,0.0,10.517220926874316,36.00000000000001,0.0,0.8090169943749473,0.0,-0.5877852522924732,-0.0,1.0,0.0,13.0
55,7.180387034418268,2.6134471510392188,10.517220926874316,36.00000000000001,20.0,0.7602272997045328,0.2767001083690212,-0.5877852522924732,-0.3420201433256687,0.9396926207859084,0.0,13.0
56,5.8535051414571635,4.911674005291018,10.517220926874316,36.00000000000001,40.0,0.6197429729297459,0.5200261000100608,-0.5877852522924732,-0.6427876096865393,0.766044443118978,0.0,13.0
