sample_id,frequency_hz,lmax,lambda_reg,include_l0,mode_count,sensor_count,nearfield_row_count,farfield_row_count,farfield_shape,basis_condition,nearfield_fit_relative_error,theta_fit_relative_error,phi_fit_relative_error,correlation,nmse,main_lobe_error_deg,raw_peak_angular_distance_deg,peak_error_db,true_peak_theta_deg,true_peak_phi_deg,pred_peak_theta_deg,pred_peak_phi_deg,candidate,candidate_method,requested_sensor_count,missing_sensor_count,layout_path,component_sample_count,channel_count,mode_sensor_ratio,is_component_underdetermined
L1_short_dipole_z_1p2G,1200000000.0,8,1e-06,False,80,162,324,2664,37x72,520842.3818404845,0.006319819987748214,0.0063198199877386695,0.10176214929844034,0.9997484510025239,0.00017653021974183464,4.777777999999965,4.777777999999965,0.01664696035258513,88.0,185.0,83.222222,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.49382716049382713,False
L1_short_dipole_z_1p2G,1200000000.0,10,0.0,False,120,162,324,2664,37x72,1.1688896130392148e+16,1.8516691294626707e-11,1.299589817595094e-11,0.00012198159356873995,0.9847871723064398,0.02222283616779275,169.9026324365276,169.9026324365276,0.549973508835638,88.0,185.0,83.222222,10.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.7407407407407407,False
L1_short_dipole_z_1p2G,1200000000.0,10,1e-10,False,120,162,324,2664,37x72,1.1688896130392148e+16,6.055525729214324e-06,6.055525253073708e-06,0.02220803160333167,0.9848513652295984,0.022128457070675896,169.9026324365276,169.9026324365276,0.5486033790817546,88.0,185.0,83.222222,10.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.7407407407407407,False
L1_short_dipole_z_1p2G,1200000000.0,10,1e-08,False,120,162,324,2664,37x72,1.1688896130392148e+16,0.0005014252525131273,0.0005014252524571727,0.06927858988602038,0.9897199404142105,0.01491903730317671,4.777777999999965,4.777777999999965,0.43604240739846223,88.0,185.0,83.222222,185.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.7407407407407407,False
L1_short_dipole_z_1p2G,1200000000.0,10,1e-06,False,120,162,324,2664,37x72,1.1688896130392148e+16,0.0027558639542307624,0.002755863954220049,0.07112009202553869,0.9999357454605471,0.0001608806531758968,0.0,173.59766886420374,0.04554496378517156,88.0,185.0,88.0,0.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.7407407407407407,False
L1_halfwave_dipole_z_1p2G,1200000000.0,2,0.0,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.9292148311824368,0.06740768995844344,19.722567526571293,19.722567526571293,-0.39371592532389554,88.0,315.0,68.888889,310.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.04938271604938271,False
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-10,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.929214831181251,0.06740768995955412,19.722567526571293,19.722567526571293,-0.39371592550307866,88.0,315.0,68.888889,310.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.04938271604938271,False
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-08,False,8,162,324,2664,37x72,4.562804517444079,0.1276472048905886,0.12764720489046139,0.9993240853036509,0.9292148310638929,0.06740769006955136,19.722567526571293,19.722567526571293,-0.39371594324267184,88.0,315.0,68.888889,310.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.04938271604938271,False
L1_halfwave_dipole_z_1p2G,1200000000.0,2,1e-06,False,8,162,324,2664,37x72,4.562804517444079,0.12764720489073977,0.12764720489061254,0.9993240853036509,0.9292148193281072,0.06740770106924959,19.722567526571293,19.722567526571293,-0.393717717200301,88.0,315.0,68.888889,310.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.04938271604938271,False
L1_halfwave_dipole_z_1p2G,1200000000.0,3,0.0,False,15,162,324,2664,37x72,20.146665301904548,0.06300954892032458,0.06300954892006363,0.9992529124061382,0.9898423863284076,0.010429521238493477,10.765715048331622,10.765715048331622,-0.10320987688108045,88.0,315.0,78.444444,320.0,full_grid_162,full_grid,162,0,data\sampling_layouts\hemisphere_sampling_candidates.csv,162,324,0.09259259259259259,False
