candidate,candidate_method,requested_sensor_count,sensor_count,missing_sensor_count,lmax,lambda_reg,include_l0,mode_count,case_count,sample_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_fit_relative_error,max_nearfield_fit_relative_error,min_farfield_total_complex_correlation_abs,max_farfield_total_complex_relative_l2_error,min_theta_farfield_complex_correlation_abs,min_phi_farfield_complex_correlation_abs,max_theta_farfield_error_to_total_norm,max_phi_farfield_error_to_total_norm,max_basis_condition,max_mode_sensor_ratio,any_component_underdetermined,status,status_rank
dictionary_weighted_32,dictionary_weighted,32,32,0,3,0.0,False,15,2,2,0.9893413168179518,0.9858317355430843,0.00791623205376245,0.009983286005015203,67.5727532455016,84.66689832864188,0.05285155912964658,0.05886473568092761,0.9950469916913255,0.10002246788286052,0.9950469916913254,0.0070303965078303225,0.10002246788285621,1.9010674894851311e-07,14.22125229502987,0.46875,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,3,1e-08,False,15,2,2,0.9893413163281936,0.9858317352280913,0.00791623234336499,0.00998328571151161,67.5727532455016,84.66689832864188,0.052851559129648513,0.058864735680929224,0.9950469923571498,0.100022460228196,0.9950469923571499,0.007030396499116482,0.1000224602281917,1.901067480620871e-07,14.22125229502987,0.46875,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,3,1e-06,False,15,2,2,0.9893412678374731,0.9858317040387041,0.007916261019030991,0.009983256659524443,67.5727532455016,84.66689832864188,0.05285155914915467,0.0588647356973117,0.9950470582727465,0.10002170242823083,0.9950470582727465,0.0070303956360827004,0.10002170242822651,1.9010666030962647e-07,14.22125229502987,0.46875,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,5,0.0,False,35,2,2,0.9681602440551933,0.9607534241420665,0.2009758702263596,0.23763173859546347,64.94679927108513,104.90907394626475,2.5456471896896357e-15,2.828983909877034e-15,0.9963291645193871,0.08667774937345571,0.9963291645193876,0.9446467830883372,0.08667774937344834,3.6208764189175976e-08,679.0789493610298,1.09375,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,5,1e-10,False,35,2,2,0.9681605462213432,0.9607538035022153,0.2009744084131412,0.23763008401212243,64.94679927108513,104.90907394626475,4.9173283674165825e-08,5.563351969671553e-08,0.996329200073885,0.08667732487375097,0.9963292000738854,0.9446469677808326,0.08667732487374358,3.6208701113814504e-08,679.0789493610298,1.09375,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,5,1e-08,False,35,2,2,0.9681904356036746,0.96079132876023,0.20082977155282497,0.2374663686917381,64.94679927108513,104.90907394626475,4.914267851761147e-06,5.559888119594426e-06,0.9963327167865768,0.08663532751013461,0.9963327167865771,0.9446652346679344,0.08663532751012723,3.620246230398037e-08,679.0789493610298,1.09375,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,5,1e-06,False,35,2,2,0.9709463198650075,0.9642517466125466,0.18715250060698874,0.2219390475667055,64.94679927108513,104.90907394626475,0.0004626355522348522,0.0005234029802988311,0.9966549766962993,0.08269976815463066,0.9966549766962998,0.9463288792491161,0.08269976815462318,3.563101858724901e-08,679.0789493610298,1.09375,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,10,0.0,False,120,2,2,0.5077660954903402,0.489618332181463,0.6213166586492596,0.6331821531636728,112.11502371355778,130.29149283879332,1.7239155493975184e-15,1.992951970507769e-15,0.6521627935236043,0.7722499235330352,0.6521627935236031,0.6470547672987231,0.772249923533024,1.4191445510549387e-07,1.8890168718835736,3.75,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,10,1e-10,False,120,2,2,0.5077660954961721,0.4896183321871215,0.6213166586458656,0.6331821531611352,112.11502371355778,130.29149283879332,2.2109261653162364e-11,2.2285481802210893e-11,0.6521627935330186,0.7722499235191055,0.6521627935330174,0.6470547672980862,0.7722499235190943,1.4191445510560025e-07,1.8890168718835736,3.75,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,10,1e-08,False,120,2,2,0.5077660957783467,0.48961833246928577,0.6213166587559318,0.6331821532840659,112.11502371355778,130.29149283879332,2.2108585457790887e-09,2.228476355866385e-09,0.6521627935294463,0.7722499231629555,0.652162793529445,0.6470547673035876,0.7722499231629444,1.4191445510537767e-07,1.8890168718835736,3.75,True,diagnostic_only,3
