source_model,candidate,lambda_reg,convention_id,measurement_transform,near_phase_sign,far_phase_sign,grid_points,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_relative_residual,mean_nearfield_power_nmse,mean_stable_condition,status
single_center,full_grid_162,1e-05,current_complex_conjugate,complex_conjugate,-1,1,1,0.9963037428415209,0.9926081196114992,0.008892872557560626,0.017784451620314987,0.0,0.0,0.988496969046456,0.31106712489164273,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,reciprocal_flipped_direct,direct,1,-1,1,0.9963037428415209,0.9926081196114992,0.008892872557560626,0.017784451620314987,0.0,0.0,0.988496969046456,0.31106712489164273,1.1898036316783183,corr_pass_nmse_near
single_center,full_grid_162,1e-05,current_theta_phi_swap,theta_phi_swap,-1,1,1,0.9682017610882935,0.9666560049617582,0.9998261720676231,0.9999990373451607,148.7639961410309,153.54787566536936,1.0,0.3405684260136357,1.1898036316783183,diagnostic_only
single_center,full_grid_162,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,1,0.9681991330141209,0.9666533114936202,0.9998262127181038,0.999999037573676,148.7639961410309,153.54787566536936,1.0,0.340574116401306,1.1898036316783183,diagnostic_only
single_center,full_grid_162,1e-05,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,1,0.8901140462825807,0.7998605991309143,0.9999694506294898,0.9999983295183693,114.41820645859508,158.19265480404357,1.0,0.3569239670026168,1.1898036316783183,diagnostic_only
single_center,full_grid_162,0.0001,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,1,0.890105743268921,0.7998454998557607,0.9999694575834156,0.9999983299191473,114.41820645859508,158.19265480404357,1.0,0.3569310591411344,1.1898036316783183,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,current_phi_sign_flip,phi_sign_flip,-1,1,45,0.8076335510719097,0.7940780754690656,0.30737973539665064,0.31842504622046325,39.97369647557115,59.95970153020868,0.555794300185119,0.2237911687590185,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,current_direct,direct,-1,1,45,0.8076335425071047,0.7940780752731348,0.3073797059581243,0.3184250043667315,89.92574848934078,109.90036842753926,0.5557943144702244,0.22379118747544222,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,45,0.8076335425071047,0.7940780752731348,0.3073797059581243,0.3184250043667315,89.92574848934078,109.90036842753926,0.5557943144702244,0.22379118747544222,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,45,0.8073533312876335,0.7940765564988207,0.3084095868264708,0.31842934857878086,44.969409986037974,69.95112855114232,0.5547307666417346,0.22349193502079567,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,current_complex_conjugate,complex_conjugate,-1,1,45,0.8073533459432358,0.7940765562887718,0.30840954382151753,0.3184293237058294,39.97369647557115,59.95970153020868,0.5547307813321426,0.2234919446217869,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,reciprocal_flipped_direct,direct,1,-1,45,0.8073533459432358,0.7940765562887718,0.30840954382151753,0.3184293237058294,39.97369647557115,59.95970153020868,0.5547307813321426,0.2234919446217869,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,45,0.8065471476564625,0.7929894884088526,0.30936818099140345,0.3203552059138689,39.97369647557115,59.95970153020868,0.5558395241871006,0.2259812663072988,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,current_direct,direct,-1,1,45,0.8065471404885938,0.7929894882043745,0.309368150240342,0.3203551638682805,89.92574848934078,109.90036842753926,0.5558395383823636,0.2259812829161043,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,45,0.8065471404885938,0.7929894882043745,0.309368150240342,0.3203551638682805,89.92574848934078,109.90036842753926,0.5558395383823636,0.2259812829161043,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,45,0.8062477277156574,0.7929878986614559,0.31040627198276394,0.3203595387407953,44.969409986037974,69.95112855114232,0.5547765206690521,0.22569810309658261,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,current_complex_conjugate,complex_conjugate,-1,1,45,0.8062477411937123,0.7929878984470993,0.3104062328069114,0.3203595147165886,39.97369647557115,59.95970153020868,0.5547765354206559,0.22569811496487702,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,reciprocal_flipped_direct,direct,1,-1,45,0.8062477411937123,0.7929878984470993,0.3104062328069114,0.3203595147165886,39.97369647557115,59.95970153020868,0.5547765354206559,0.22569811496487702,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,45,0.45587755699324617,0.446501232096114,0.5818403408567348,0.5825135164412811,25.260218616143952,44.98640924614876,0.7890536336586648,0.570648640363564,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,1e-05,current_theta_phi_swap,theta_phi_swap,-1,1,45,0.4545209265110479,0.4464969334984974,0.5816709089154037,0.5821758376568258,69.90966072081405,84.8641249379889,0.7894507562059019,0.5710750608623076,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,45,0.4551274318484751,0.44579850585230846,0.5811579614139083,0.581907007776921,25.260218616143952,44.98640924614876,0.7890630409476802,0.5707177052266037,185.92676953422503,diagnostic_only
default_cube_5x3x3,full_grid_162,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,45,0.45376500772744344,0.4457941925715263,0.580991494698767,0.581575249394174,69.90966072081405,84.8641249379889,0.7894600815251902,0.5711453976474805,185.92676953422503,diagnostic_only
