sample_id,frequency_hz,candidate,candidate_method,source_model,grid_points,unknown_count,sensor_count,measurement_channels,channel_unknown_ratio,lambda_reg,convention_id,measurement_transform,near_phase_sign,far_phase_sign,convention_note,nearfield_relative_residual,nearfield_power_nmse,nearfield_extraction_method,farfield_extraction_method,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.5606549867975296,0.2384885639816632,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.31842504622046325,0.7940780754690656,59.95970153020868,21.17563938626928
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",0.7878528637647134,0.5728449656640577,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.5811659801739818,0.4464969334984974,54.95519650363919,20.488040072359567
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.5606513632291706,0.23848758155400024,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3184293237058294,0.7940765562887718,59.95970153020868,21.17569865981268
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.5606549862087227,0.23848856265551346,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3184250043667315,0.7940780752731348,109.90036842753926,21.175638928194054
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.5606513638203213,0.2384875785308947,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.31842934857878086,0.7940765564988207,69.95112855114232,21.17569892774865
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,1e-05,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",0.7878515053588706,0.5728434342344461,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.5811671652721883,0.446501232096114,44.98640924614876,20.488106215517384
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.550980106033144,0.21130585610100358,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.29838113661240345,0.8201047927728131,69.95112855114229,20.828357565733103
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.5488577212286765,0.21074043995935496,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.3004529508972342,0.8195075839403254,19.987691420933626,20.860321062972726
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.5509800770548482,0.21130582142053955,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.298381156068938,0.8201048069040724,19.987691420933626,20.828358226646685
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,45,135,162,324,2.4,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",0.7910580467437985,0.5693734984794065,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,135,1.0,185.92676953422503,0.581575249394174,0.4617358228833605,84.8641249379889,20.02893505915746
