sample_id,frequency_hz,candidate,model_variant,lambda_reg,smooth_lambda,weight_mode,prior_id,node_index,x_m,y_m,z_m,normal_x,normal_y,normal_z,weight_m2,J_t1_real,J_t1_imag,J_t2_real,J_t2_imag,M_t1_real,M_t1_imag,M_t2_real,M_t2_imag,node_coeff_norm
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,10,0.0926003435021562,-0.1978815554240279,4.2734375,0.2645724100061607,-0.5653758726400799,0.78125,0.0160352125026979,5.856521456797494e-06,-0.00014492802000757237,5.434539845515285e-06,-0.00017453750770592933,0.0010981628526515992,-0.0003427879016815451,-0.00024207726016041724,-2.56028660897861e-05,0.0011976031933692978
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,11,0.0680279501190859,0.2168838246663423,4.266145833333333,0.1943655717688171,0.6196680704752637,0.7604166666666666,0.0160352125026979,-3.980551295486935e-05,-6.658939582369612e-05,3.2762262388747e-05,4.950232488920559e-05,0.00107392649394233,-0.00041855477852412236,-9.400022926352961e-05,-1.8930924742875573e-05,0.0011607080220856103
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,12,-0.2038201837493183,-0.1181179626293126,4.258854166666667,-0.5823433821409094,-0.3374798932266075,0.7395833333333333,0.0160352125026979,-5.8754659952851075e-05,-3.0162415234693553e-06,4.5008873846899165e-05,0.0003279025358181139,0.0007945936227799276,-0.00047488799841103083,1.3412342054211994e-05,-3.8624357386771125e-06,0.0009849363051622163
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,13,0.2376682020157024,-0.0522506875014409,4.2515625,0.6790520057591499,-0.1492876785755457,0.71875,0.0160352125026979,-5.703326854080218e-05,-1.1086773171195221e-05,2.4626259835643627e-05,0.000343432913658646,0.0006230535593639484,-0.0006060084069527507,3.1529473187098285e-05,3.1709744823723955e-05,0.0009377472323857288
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,14,-0.1441634620718813,0.2050576898974727,4.244270833333333,-0.4118956059196609,0.5858791139927794,0.6979166666666667,0.0160352125026979,-7.048098201566756e-05,-5.9431567363520376e-05,8.063281356737449e-06,0.0005375082483730889,0.0003177514611031653,-0.0005904361248110146,0.0001100883028731319,5.864202110013719e-05,0.0008732805638417481
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,15,-0.0331001415477442,-0.2554315078362329,4.236979166666667,-0.0945718329935548,-0.7298043081035227,0.6770833333333333,0.0160352125026979,-1.611276274289533e-05,4.2175269423538243e-05,3.2537718529185604e-05,0.0006405182640391089,0.00019756434278429542,-0.0005534448132331639,3.8708112164052835e-05,1.6343442019507093e-05,0.0008720429926601939
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,16,0.201936333078244,0.1701921553029471,4.2296875,0.5769609516521259,0.4862633008655632,0.65625,0.0160352125026979,-3.419250143305984e-05,0.0001101754735723549,7.028234954576214e-05,0.000624971859428564,0.00026051691471632696,-0.0005071911483744692,0.0001458457146948069,1.5187692848450598e-05,0.0008691667033532961
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,17,-0.2700285206946736,0.0111665270974643,4.222395833333334,-0.771510059127639,0.0319043631356124,0.6354166666666667,0.0160352125026979,-9.019652685437357e-06,0.0001330570075770324,5.0715094142934745e-05,0.0006062024111247332,0.00014444256467719018,-0.00047353580623927686,0.00012043621101727938,1.2592906075578028e-07,0.0008046388112009142
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,18,0.1957065015708259,-0.1947541083662863,4.215104166666666,0.5591614330595027,-0.5564403096179611,0.6145833333333333,0.0160352125026979,4.6627583943651286e-05,0.00012816576085921075,9.922974514884007e-05,0.0005782551246624189,0.00023813709971920785,-0.0004171634901651934,1.7067818180627095e-06,5.464898916389161e-06,0.0007704502316019629
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,huygens_em_minus,0.01,0.0,sqrt_area,level1_local_sphere_r0p35,19,-0.013008774560067,0.2813267435353335,4.2078125,-0.0371679273144774,0.8037906958152388,0.59375,0.0160352125026979,7.56950722448307e-05,-5.090526426985612e-05,0.00010854848088535587,0.0005668643913328824,0.0001430273010097671,-0.0003480090068100314,-8.930443699617916e-05,8.95256434701414e-06,0.0007007578820726076
