sample_id,frequency_hz,candidate,method,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,lambda_reg,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db,model_id,note,nx,ny,nz,x_min,x_max,y_min,y_max,z_min,z_max,grid_points
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,0.0001,81,1.0,1900.925247575812,0.3476634144896461,0.7757414101816857,0.0,19.05006007228758,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,1e-05,81,1.0,1900.925247575812,0.3218276920664837,0.7838063394806698,39.9745936890198,19.599220847156925,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,27,81,4.0,1e-05,81,1.0,1900.925247575812,0.32999607092023125,0.8029343612588788,0.0,19.42545803033766,compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.01,135,1.0,185.92676953422503,0.33313262438378644,0.7826099965313554,69.95112855114232,20.53992290711693,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.01,135,1.0,185.92676953422503,0.30995339555233503,0.8101464617380912,69.95112855114229,20.176031043871102,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.001,135,1.0,185.92676953422503,0.32657086569421173,0.7920233356274266,109.90036842753926,21.113721562846905,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.001,135,1.0,185.92676953422503,0.3045488477027688,0.819166086838793,69.95112855114229,20.76325677373497,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.0001,135,1.0,185.92676953422503,0.3203551638682805,0.7929894882043745,109.90036842753926,21.178955230332576,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,0.0001,135,1.0,185.92676953422503,0.29838113661240345,0.8201047927728131,69.95112855114229,20.828357565733103,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,1e-05,135,1.0,185.92676953422503,0.3184250043667315,0.7940780752731348,109.90036842753926,21.175638928194054,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,45,135,2.4,1e-05,135,1.0,185.92676953422503,0.2963344075495171,0.8211890097410747,69.95112855114229,20.824033785238946,default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.01,225,1.0,67.86886185262695,0.8177205963557641,0.39363302272827977,154.56263272219812,34.60821592243972,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.01,225,1.0,67.86886185262695,0.8019617505323535,0.41167624731960595,56.3514408899026,34.17845526645515,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.001,225,1.0,67.86886185262695,0.8460329690060764,0.3887578870807176,19.03862539552598,42.8260488882851,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.001,225,1.0,67.86886185262695,0.8322155367070467,0.4078900540867584,55.61548013889318,42.568843283764785,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.0001,225,1.0,67.86886185262695,0.8512126601111824,0.3878314537350181,19.03862539552598,45.78704346632832,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,0.0001,225,1.0,67.86886185262695,0.8373372742355668,0.40614137967270963,55.61548013889318,45.54770549551884,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,1e-05,225,1.0,67.86886185262695,0.8517696392990487,0.3869940266742364,19.03862539552598,46.17765572345972,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,75,225,1.44,1e-05,225,1.0,67.86886185262695,0.8378841416281896,0.40522845293173704,55.61548013889318,45.940539682477464,wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75
